source,year,milk_type,treatment,temperature_C,calcium_activity_mM,pH
foods2023,2023,bovine_skim,none,0,1.02,6.83
foods2023,2023,bovine_skim,none,85,0.95,6.81
foods2023,2023,bovine_skim,none,95,0.91,6.79
foods2023,2023,bovine_skim,TSC,0,0.73,7.02
foods2023,2023,bovine_skim,TSC,85,0.69,6.97
foods2023,2023,bovine_skim,TSC,95,0.67,6.93
foods2023,2023,bovine_skim,DSHP,0,0.73,6.95
foods2023,2023,bovine_skim,DSHP,85,0.64,6.91
foods2023,2023,bovine_skim,DSHP,95,0.62,6.89
foods2023,2023,buffalo_skim,none,0,0.84,6.93
foods2023,2023,buffalo_skim,none,85,0.85,6.90
foods2023,2023,buffalo_skim,none,95,0.82,6.84
foods2023,2023,buffalo_skim,TSC,0,0.63,7.08
foods2023,2023,buffalo_skim,TSC,85,0.59,7.04
foods2023,2023,buffalo_skim,TSC,95,0.57,6.99
foods2023,2023,buffalo_skim,DSHP,0,0.63,7.00
foods2023,2023,buffalo_skim,DSHP,85,0.58,6.96
foods2023,2023,buffalo_skim,DSHP,95,0.50,6.88
foods2023,2023,blend_50_50,none,0,0.92,6.89
foods2023,2023,blend_50_50,none,85,0.90,6.84
foods2023,2023,blend_50_50,none,95,0.87,6.81
on_nom2010,2010,bovine_semi_skim,none,20,1.22,6.72
on_nom2010,2010,bovine_semi_skim,none,40,1.05,6.65
on_nom2010,2010,bovine_semi_skim,none,60,0.88,6.58
on_nom2010,2010,bovine_semi_skim,none,80,0.65,6.48
on_nom2010,2010,bovine_semi_skim,none,90,0.55,6.40
on_nom2010,2010,bovine_semi_skim,none,100,0.48,6.32
on_nom2010,2010,bovine_semi_skim,none,110,0.42,6.24
biochemj1926,1926,cow,none,0,1.10,6.70
biochemj1926,1926,cow,none,77,1.05,6.60
biochemj1926,1926,cow,pasteurised,72,1.08,6.63
ijms2024,2024,bovine,none,0,100.0,
ijms2024,2024,bovine,none,63,99.5,
ijms2024,2024,bovine,none,72,99.0,
ijms2024,2024,bovine,none,85,97.5,
ijms2024,2024,bovine,none,95,96.0,
ijms2024,2024,bovine,none,121,93.0,
intdairy1999,1999,bovine,none,0,100.0,
intdairy1999,1999,bovine,none,70,98.0,
intdairy1999,1999,bovine,none,80,96.5,
intdairy1999,1999,bovine,none,90,94.0,
intdairy1999,1999,bovine,none,120,90.0,
korea2013,2013,bovine_raw,none,0,450.2,
korea2013,2013,bovine_LTLT,none,63,340.7,
korea2013,2013,bovine_HTST,none,72,309.4,
korea2013,2013,bovine_UHT,none,135,375.2,
tessier1958,1958,bovine_skim,none,20,2.90,6.68
tessier1958,1958,bovine_skim,none,66,2.88,6.55
tessier1958,1958,bovine_skim,none,82,2.50,6.42
